Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,18/10/16,Brasil de Pelotas,Londrina,B,32
2,19/10/16,Santa Cruz,Botafogo,A,32
3,21/10/16,Ceará,Bragantino,B,32
4,22/10/16,São Paulo,Ponte Preta,A,32
5,22/10/16,CRB,Joinville,B,32
6,22/10/16,Criciúma,Atlético-GO,B,32
7,23/10/16,EC Vitória,Cruzeiro,A,32
8,23/10/16,Flamengo,Corinthians,A,32
9,23/10/16,Grêmio,Internacional,A,32
10,23/10/16,Palmeiras,Sport,A,32
11,23/10/16,Coritiba,Fluminense,A,32
12,23/10/16,Atlético-MG,Figueirense,A,32
13,23/10/16,Chapecoense,Santos,A,32
14,24/10/16,América-MG,Athletico-PR,A,32
