Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,21/06/16,Bragantino,Goiás,B,11
2,21/06/16,Brasil de Pelotas,Náutico,B,11
3,21/06/16,Paysandu,Joinville,B,11
4,21/06/16,Luverdense,Sampaio Corrêa,B,11
5,25/06/16,Cruzeiro,Palmeiras,A,11
6,25/06/16,Corinthians,Santa Cruz,A,11
7,26/06/16,América-MG,Atlético-MG,A,11
8,26/06/16,Internacional,Botafogo,A,11
9,26/06/16,Flamengo,Fluminense,A,11
10,26/06/16,EC Vitória,Ponte Preta,A,11
11,26/06/16,Santos,São Paulo,A,11
12,26/06/16,Athletico-PR,Grêmio,A,11
13,26/06/16,Sport,Chapecoense,A,11
14,26/06/16,Figueirense,Coritiba,A,11
