Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,13/05/16,Tupi,Goiás,B,1
2,14/05/16,Flamengo,Sport,A,1
3,14/05/16,Palmeiras,Athletico-PR,A,1
4,14/05/16,Atlético-MG,Santos,A,1
5,14/05/16,Coritiba,Cruzeiro,A,1
6,14/05/16,Bahia,Avaí,B,1
7,14/05/16,Ceará,Paysandu,B,1
8,14/05/16,Brasil de Pelotas,Paraná,B,1
9,15/05/16,Botafogo,São Paulo,A,1
10,15/05/16,Santa Cruz,EC Vitória,A,1
11,15/05/16,Corinthians,Grêmio,A,1
12,15/05/16,Figueirense,Ponte Preta,A,1
13,15/05/16,América-MG,Fluminense,A,1
14,15/05/16,Internacional,Chapecoense,A,1
