Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,05/07/16,Bahia,Vila Nova,B,15
2,08/07/16,Criciúma,Luverdense,B,15
3,08/07/16,Tupi,Ceará SC,B,15
4,09/07/16,Goiás,Atlético-GO,B,15
5,16/07/16,Botafogo,Flamengo,A,15
6,16/07/16,Santos,Ponte Preta,A,15
7,17/07/16,América-MG,Santa Cruz,A,15
8,17/07/16,Figueirense,Chapecoense,A,15
9,17/07/16,Athletico-PR,EC Vitória,A,15
10,17/07/16,Corinthians,São Paulo,A,15
11,17/07/16,Fluminense,Cruzeiro,A,15
12,17/07/16,Internacional,Palmeiras,A,15
13,17/07/16,Sport Recife,Grêmio,A,15
14,18/07/16,Atlético-MG,Coritiba,A,15
