Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,02/08/16,Londrina,Bragantino,B,19
2,02/08/16,Oeste,Náutico,B,19
3,02/08/16,Tupi,Paraná,B,19
4,06/08/16,Flamengo,Athletico-PR,A,19
5,07/08/16,América-MG,Santos,A,19
6,07/08/16,Coritiba,Ponte Preta,A,19
7,07/08/16,Palmeiras,EC Vitória,A,19
8,07/08/16,Santa Cruz,São Paulo,A,19
9,07/08/16,Internacional,Fluminense,A,19
10,07/08/16,Figueirense,Sport Recife,A,19
11,08/08/16,Atlético-MG,Chapecoense,A,19
12,08/08/16,Corinthians,Cruzeiro,A,19
13,16/08/16,Bahia,Atlético-GO,B,19
14,04/09/16,Botafogo,Grêmio,A,19
