Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,10/06/16,Bahia,CRB,B,8
2,11/06/16,Luverdense,Ceará SC,B,8
3,11/06/16,Avaí,Joinville,B,8
4,11/06/16,Bragantino,Paysandu,B,8
5,15/06/16,Ponte Preta,Athletico-PR,A,8
6,15/06/16,São Paulo,EC Vitória,A,8
7,15/06/16,Chapecoense,Grêmio,A,8
8,15/06/16,Santa Cruz,Figueirense,A,8
9,15/06/16,Botafogo,América-MG,A,8
10,15/06/16,Santos,Sport Recife,A,8
11,15/06/16,Cruzeiro,Flamengo,A,8
12,15/06/16,Coritiba,Palmeiras,A,8
13,16/06/16,Internacional,Atlético-MG,A,8
14,16/06/16,Fluminense,Corinthians,A,8
