Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,23/06/09,América-RN,Ponte Preta,B,8
2,27/06/09,Athletico-PR,Corinthians,A,8
3,27/06/09,Barueri,Atlético-MG,A,8
4,27/06/09,São Paulo,Nautico,A,8
5,27/06/09,Cruzeiro,Avai,A,8
6,27/06/09,Botafogo,Goiás,A,8
7,27/06/09,Atlético-GO,ABC,B,8
8,27/06/09,Bragantino,Portuguesa,B,8
9,27/06/09,Paraná,Brasiliense,B,8
10,28/06/09,Palmeiras,Santos,A,8
11,28/06/09,Internacional,Coritiba,A,8
12,28/06/09,EC Vitória,Santo Andre,A,8
13,28/06/09,Sport,Grêmio,A,8
14,28/06/09,Fluminense,Flamengo,A,8
