Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,17/07/09,Ipatinga,Brasiliense,B,12
2,18/07/09,Fluminense,Goiás,A,12
3,18/07/09,Palmeiras,Santo Andre,A,12
4,18/07/09,Atlético-GO,Fortaleza,B,12
5,18/07/09,Campinense,Bahia,B,12
6,18/07/09,Guarani,Paraná,B,12
7,19/07/09,Grêmio,Internacional,A,12
8,19/07/09,São Paulo,Santos,A,12
9,19/07/09,Athletico-PR,Coritiba,A,12
10,19/07/09,EC Vitória,Atlético-MG,A,12
11,19/07/09,Cruzeiro,Corinthians,A,12
12,19/07/09,Barueri,Nautico,A,12
13,19/07/09,Sport,Avai,A,12
14,19/07/09,Botafogo,Flamengo,A,12
