Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,12/05/09,Portuguesa,Fortaleza,B,2
2,12/05/09,Atlético-GO,Bragantino,B,2
3,16/05/09,Coritiba,Santo Andre,A,2
4,16/05/09,Atlético-MG,Grêmio,A,2
5,16/05/09,Flamengo,Avai,A,2
6,16/05/09,Ceará,Vasco,B,2
7,16/05/09,São Caetano,Bahia,B,2
8,17/05/09,Santos,Goiás,A,2
9,17/05/09,São Paulo,Athletico-PR,A,2
10,17/05/09,Barueri,Fluminense,A,2
11,17/05/09,Internacional,Palmeiras,A,2
12,17/05/09,Botafogo,Corinthians,A,2
13,17/05/09,EC Vitória,Sport,A,2
14,17/05/09,Nautico,Cruzeiro,A,2
