Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,04/06/09,Grêmio,Nautico,A,5
2,04/06/09,Santo Andre,Santos,A,5
3,05/06/09,Campinense,Atlético-GO,B,5
4,05/06/09,Figueirense,Guarani,B,5
5,05/06/09,Vila Nova,Ceará,B,5
6,06/06/09,Corinthians,Coritiba,A,5
7,06/06/09,Ponte Preta,Portuguesa,B,5
8,07/06/09,Palmeiras,EC Vitória,A,5
9,07/06/09,Athletico-PR,Atlético-MG,A,5
10,07/06/09,Sport,Flamengo,A,5
11,07/06/09,Avai,São Paulo,A,5
12,07/06/09,Cruzeiro,Internacional,A,5
13,07/06/09,Goiás,Barueri,A,5
14,07/06/09,Fluminense,Botafogo,A,5
