Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,03/07/09,Portuguesa,Paraná,B,10
2,04/07/09,Bahia,Figueirense,B,10
3,04/07/09,São Caetano,Atlético-GO,B,10
4,04/07/09,Ponte Preta,Juventude,B,10
5,11/07/09,Avai,Botafogo,A,10
6,11/07/09,Barueri,Coritiba,A,10
7,11/07/09,Palmeiras,Nautico,A,10
8,12/07/09,Cruzeiro,Atlético-MG,A,10
9,12/07/09,Athletico-PR,Internacional,A,10
10,12/07/09,Grêmio,Corinthians,A,10
11,12/07/09,São Paulo,Flamengo,A,10
12,12/07/09,EC Vitória,Santos,A,10
13,12/07/09,Sport,Goiás,A,10
14,12/07/09,Fluminense,Santo Andre,A,10
