Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,14/11/09,São Caetano,Juventude,B,36
2,14/11/09,Ipatinga,Atlético-GO,B,36
3,14/11/09,ABC,Brasiliense,B,36
4,14/11/09,Figueirense,Bragantino,B,36
5,18/11/09,Grêmio,Palmeiras,A,36
6,21/11/09,Corinthians,Nautico,A,36
7,21/11/09,Athletico-PR,Cruzeiro,A,36
8,22/11/09,Botafogo,São Paulo,A,36
9,22/11/09,Sport,Fluminense,A,36
10,22/11/09,Santo Andre,Avai,A,36
11,22/11/09,Santos,Coritiba,A,36
12,22/11/09,EC Vitória,Barueri,A,36
13,22/11/09,Atlético-MG,Internacional,A,36
14,22/11/09,Flamengo,Goiás,A,36
