Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,11/07/09,Ceará,ABC,B,11
2,13/07/09,Fortaleza,América-RN,B,11
3,14/07/09,Brasiliense,Ceará,B,11
4,14/07/09,Paraná,Ipatinga,B,11
5,15/07/09,Goiás,Avai,A,11
6,15/07/09,Coritiba,Grêmio,A,11
7,15/07/09,Santos,Barueri,A,11
8,15/07/09,Santo Andre,Athletico-PR,A,11
9,15/07/09,Flamengo,Palmeiras,A,11
10,15/07/09,Internacional,Fluminense,A,11
11,16/07/09,Atlético-MG,São Paulo,A,11
12,16/07/09,Corinthians,Sport,A,11
13,16/07/09,Nautico,EC Vitória,A,11
14,27/08/09,Botafogo,Cruzeiro,A,11
