Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,29/07/09,Nautico,Santos,A,15
2,29/07/09,Coritiba,Botafogo,A,15
3,29/07/09,Goiás,Athletico-PR,A,15
4,29/07/09,Internacional,Barueri,A,15
5,29/07/09,Cruzeiro,Sport,A,15
6,29/07/09,Santo Andre,Corinthians,A,15
7,29/07/09,Palmeiras,Fluminense,A,15
8,30/07/09,Avai,EC Vitória,A,15
9,30/07/09,Flamengo,Atlético-MG,A,15
10,30/07/09,São Paulo,Grêmio,A,15
11,31/07/09,Campinense,Figueirense,B,15
12,31/07/09,ABC,Portuguesa,B,15
13,31/07/09,Guarani,Atlético-GO,B,15
14,01/08/09,Ipatinga,São Caetano,B,15
