Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,01/08/09,Sport,Palmeiras,A,16
2,01/08/09,Botafogo,Barueri,A,16
3,02/08/09,Flamengo,Nautico,A,16
4,02/08/09,Corinthians,Avai,A,16
5,02/08/09,EC Vitória,São Paulo,A,16
6,02/08/09,Athletico-PR,Fluminense,A,16
7,02/08/09,Santo Andre,Goiás,A,16
8,02/08/09,Grêmio,Cruzeiro,A,16
9,02/08/09,Atlético-MG,Coritiba,A,16
10,04/08/09,Paraná,Bragantino,B,16
11,07/08/09,Ipatinga,Guarani,B,16
12,08/08/09,Vila Nova,Bahia,B,16
13,08/08/09,Vasco,Campinense,B,16
14,26/08/09,Santos,Internacional,A,16
