Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,23/10/09,Atlético-GO,Brasiliense,B,32
2,23/10/09,Bragantino,Fortaleza,B,32
3,24/10/09,Ipatinga,Juventude,B,32
4,24/10/09,Campinense,Vila Nova,B,32
5,28/10/09,Athletico-PR,Santos,A,32
6,28/10/09,Botafogo,Nautico,A,32
7,28/10/09,Cruzeiro,Santo Andre,A,32
8,28/10/09,Grêmio,Avai,A,32
9,28/10/09,EC Vitória,Corinthians,A,32
10,28/10/09,Barueri,Flamengo,A,32
11,28/10/09,São Paulo,Internacional,A,32
12,29/10/09,Sport,Coritiba,A,32
13,29/10/09,Fluminense,Atlético-MG,A,32
14,29/10/09,Palmeiras,Goiás,A,32
