time,região,serie
Palmeiras,SP,A
Santos,SP,A
Flamengo,RJ,A
Atlético-MG,MG,A
Botafogo,RJ,A
Athletico-PR,PR,A
Corinthians,SP,A
Ponte Preta,SP,A
Grêmio,RS,A
São Paulo,SP,A
Chapecoense,SC,A
Cruzeiro,MG,A
Fluminense,RJ,A
Sport Recife,N,A
EC Vitória,N,A
Coritiba,PR,A
Internacional,RS,A
Figueirense,SC,A
Santa Cruz,N,A
América-MG,MG,A
Atlético-GO,GO,B
Avaí,SC,B
Vasco da Gama,RJ,B
Bahia,N,B
Náutico,N,B
Londrina,PR,B
CRB,N,B
Criciúma,SC,B
Luverdense,MT,B
Ceará SC,N,B
Brasil de Pelotas,RS,B
Vila Nova,GO,B
Goiás,GO,B
Paysandu,PA,B
Paraná,PR,B
Oeste,SP,B
Joinville,SC,B
Tupi,MG,B
Bragantino,SP,B
Sampaio Corrêa,N,B
