Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,29/07/15,Corinthians,Vasco,A,16
2,29/07/15,Atlético-MG,São Paulo,A,16
3,31/07/15,Paysandu,Mogi Mirim,B,16
4,31/07/15,Boa,Criciúma,B,16
5,01/08/15,Fluminense,Grêmio,A,16
6,01/08/15,Oeste,Santa Cruz,B,16
7,01/08/15,Paraná,CRB,B,16
8,02/08/15,Palmeiras,Atlético-PR,A,16
9,02/08/15,Coritiba,Goiás,A,16
10,02/08/15,Joinville,Avaí,A,16
11,02/08/15,Figueirense,Ponte Preta,A,16
12,02/08/15,Flamengo,Santos,A,16
13,02/08/15,Internacional,Chapecoense,A,16
14,02/08/15,Sport,Cruzeiro,A,16
