Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,02/06/15,Paraná,Botafogo,B,5
2,02/06/15,Paysandu,Santa Cruz,B,5
3,02/06/15,ABC,Bragantino,B,5
4,02/06/15,EC Vitória,Criciúma,B,5
5,03/06/15,Grêmio,Corinthians,A,5
6,03/06/15,Vasco,Ponte Preta,A,5
7,03/06/15,Chapecoense,Joinville,A,5
8,03/06/15,Atlético-PR,Figueirense,A,5
9,03/06/15,São Paulo,Santos,A,5
10,03/06/15,Cruzeiro,Flamengo,A,5
11,03/06/15,Avaí,Atlético-MG,A,5
12,04/06/15,Palmeiras,Internacional,A,5
13,04/06/15,Fluminense,Coritiba,A,5
14,04/06/15,Sport,Goiás,A,5
