Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,16/06/15,Náutico,Paysandu,B,8
2,18/06/15,Figueirense,Internacional,A,8
3,20/06/15,Grêmio,Palmeiras,A,8
4,20/06/15,Santos,Corinthians,A,8
5,20/06/15,Flamengo,Atlético-MG,A,8
6,20/06/15,Sport,Vasco,A,8
7,20/06/15,CRB,Macaé,B,8
8,20/06/15,América-MG,Atlético-GO,B,8
9,20/06/15,Bragantino,Oeste,B,8
10,21/06/15,Joinville,Goiás,A,8
11,21/06/15,Cruzeiro,Chapecoense,A,8
12,21/06/15,São Paulo,Avaí,A,8
13,21/06/15,Atlético-PR,Coritiba,A,8
14,24/06/15,Fluminense,Ponte Preta,A,8
