Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,18/09/15,Atlético-GO,América-MG,B,27
2,19/09/2015,Palmeiras,Grêmio,A,27
3,19/09/15,Paysandu,Náutico,B,27
4,19/09/15,Santa Cruz,Ceará SC,B,27
5,19/09/2015,Internacional,Figueirense,A,27
6,19/09/15,Criciúma,Luverdense,B,27
7,19/09/15,Oeste,Bragantino,B,27
8,19/09/15,Mogi Mirim,Paraná,B,27
9,19/09/2015,Ponte Preta,Fluminense,A,27
10,19/09/15,Macaé,CRB,B,27
11,20/09/2015,Chapecoense,Cruzeiro,A,27
12,20/09/2015,Atlético-MG,Flamengo,A,27
13,20/09/2015,Goiás,Joinville,A,27
14,20/09/2015,Avaí,São Paulo,A,27
