Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,11/08/15,Boa,Macaé,B,18
2,11/08/15,Criciúma,Paysandu,B,18
3,11/08/15,Oeste,Atlético-GO,B,18
4,11/08/15,Bragantino,Paraná,B,18
5,11/08/15,Luverdense,EC Vitória,B,18
6,11/08/15,Bahia,Náutico,B,18
7,11/08/15,Botafogo,ABC,B,18
8,12/08/2015,Flamengo,Atlético-PR,A,18
9,12/08/2015,Coritiba,Palmeiras,A,18
10,12/08/2015,Internacional,Fluminense,A,18
11,12/08/2015,Goiás,Chapecoense,A,18
12,12/08/2015,Santos,Vasco da Gama,A,18
13,13/08/2015,Ponte Preta,Avaí,A,18
14,13/08/2015,Atlético-MG,Grêmio,A,18
