Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,06/10/15,Paysandu,Bahia,B,30
2,06/10/15,Paraná,Oeste,B,30
3,06/10/15,América-MG,Macaé,B,30
4,06/10/15,Luverdense,Sampaio Corrêa,B,30
5,06/10/15,CRB,Santa Cruz,B,30
6,10/10/15,EC Vitória,Boa,B,30
7,14/10/2015,Sport Recife,Avaí,A,30
8,14/10/2015,Atlético-MG,Internacional,A,30
9,14/10/2015,Fluminense,São Paulo,A,30
10,14/10/2015,Figueirense,Flamengo,A,30
11,14/10/2015,Palmeiras,Ponte Preta,A,30
12,15/10/2015,Vasco da Gama,Chapecoense,A,30
13,15/10/2015,Grêmio,Santos,A,30
14,20/10/15,Botafogo,Ceará SC,B,30
