Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,16/06/15,Luverdense,Criciúma,B,8
2,18/06/15,Figueirense,Internacional,A,8
3,19/06/15,Paraná,Mogi Mirim,B,8
4,20/06/15,Grêmio,Palmeiras,A,8
5,20/06/15,EC Vitória,ABC,B,8
6,20/06/15,Ceará SC,Santa Cruz,B,8
7,20/06/15,Santos,Corinthians,A,8
8,20/06/15,Sport Recife,Vasco da Gama,A,8
9,20/06/15,CRB,Macaé,B,8
10,20/06/15,América-MG,Atlético-GO,B,8
11,20/06/15,Flamengo,Atlético-MG,A,8
12,20/06/15,Bragantino,Oeste,B,8
13,21/06/15,Cruzeiro,Chapecoense,A,8
14,24/06/15,Fluminense,Ponte Preta,A,8
