Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,07/09/15,Ceará SC,Náutico,B,24
2,08/09/15,Boa,Mogi Mirim,B,24
3,08/09/15,Criciúma,EC Vitória,B,24
4,08/09/15,Bragantino,ABC,B,24
5,08/09/15,Bahia,Macaé,B,24
6,08/09/15,Botafogo,Paraná,B,24
7,08/09/15,Luverdense,Atlético-GO,B,24
8,09/09/15,Internacional,Palmeiras,A,24
9,09/09/15,Ponte Preta,Vasco da Gama,A,24
10,09/09/15,Corinthians,Grêmio,A,24
11,09/09/15,Coritiba,Fluminense,A,24
12,09/09/15,Figueirense,Atlético-PR,A,24
13,10/09/15,Joinville,Chapecoense,A,24
14,10/09/15,Flamengo,Cruzeiro,A,24
