Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,13/11/15,Paysandu,Luverdense,B,36
2,14/11/15,Bragantino,Sampaio Corrêa,B,36
3,14/11/15,Náutico,CRB,B,36
4,14/11/15,Paraná,América-MG,B,36
5,14/11/15,EC Vitória,Ceará SC,B,36
6,14/11/15,Boa,Bahia,B,36
7,14/11/15,Atlético-GO,Macaé,B,36
8,21/11/15,Palmeiras,Cruzeiro,A,36
9,22/11/15,Corinthians,São Paulo,A,36
10,22/11/15,Sport Recife,Atlético-PR,A,36
11,22/11/15,Joinville,Vasco da Gama,A,36
12,22/11/15,Atlético-MG,Goiás,A,36
13,22/11/15,Internacional,Grêmio,A,36
14,22/11/15,Fluminense,Avaí,A,36
