Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,04/08/15,Sampaio Corrêa,Bragantino,B,17
2,07/08/15,Luverdense,Paysandu,B,17
3,08/08/2015,Avaí,Fluminense,A,17
4,08/08/15,CRB,Náutico,B,17
5,08/08/15,Ceará SC,EC Vitória,B,17
6,08/08/2015,Santos,Coritiba,A,17
7,08/08/15,Santa Cruz,Botafogo,B,17
8,08/08/15,Macaé,Atlético-GO,B,17
9,08/08/15,Mogi Mirim,ABC,B,17
10,09/08/2015,Chapecoense,Figueirense,A,17
11,09/08/2015,Cruzeiro,Palmeiras,A,17
12,09/08/2015,Vasco da Gama,Joinville,A,17
13,09/08/2015,Ponte Preta,Flamengo,A,17
14,09/08/2015,Goiás,Atlético-MG,A,17
