Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,10/11/15,CRB,Paraná,B,35
2,10/11/15,Luverdense,Botafogo,B,35
3,10/11/15,Mogi Mirim,Paysandu,B,35
4,10/11/15,Sampaio Corrêa,Atlético-GO,B,35
5,10/11/15,Santa Cruz,Oeste,B,35
6,10/11/15,Macaé,Náutico,B,35
7,10/11/15,Ceará SC,Bragantino,B,35
8,15/11/2015,Cruzeiro,Sport Recife,A,35
9,18/11/2015,Ponte Preta,Figueirense,A,35
10,18/11/2015,Atlético-PR,Palmeiras,A,35
11,18/11/2015,Avaí,Joinville,A,35
12,19/11/2015,Santos,Flamengo,A,35
13,19/11/2015,Grêmio,Fluminense,A,35
14,19/11/2015,São Paulo,Atlético-MG,A,35
