Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,20/11/15,Macaé,Boa,B,37
2,21/11/15,Paysandu,Criciúma,B,37
3,21/11/15,Mogi Mirim,Santa Cruz,B,37
4,21/11/15,América-MG,Ceará SC,B,37
5,21/11/15,Náutico,Bahia,B,37
6,21/11/15,EC Vitória,Luverdense,B,37
7,21/11/15,CRB,Sampaio Corrêa,B,37
8,28/11/15,São Paulo,Figueirense,A,37
9,28/11/15,Fluminense,Internacional,A,37
10,28/11/15,Avaí,Ponte Preta,A,37
11,29/11/15,Chapecoense,Goiás,A,37
12,29/11/15,Sport Recife,Corinthians,A,37
13,29/11/15,Grêmio,Atlético-MG,A,37
14,29/11/15,Atlético-PR,Flamengo,A,37
