Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,02/06/15,CRB,Oeste,B,5
2,02/06/15,Paysandu,Santa Cruz,B,5
3,02/06/15,Náutico,Ceará SC,B,5
4,02/06/15,Macaé,Bahia,B,5
5,02/06/15,Atlético-GO,Luverdense,B,5
6,02/06/15,América-MG,Sampaio Corrêa,B,5
7,02/06/15,Paraná,Botafogo,B,5
8,03/06/2015,Grêmio,Corinthians,A,5
9,03/06/2015,Vasco da Gama,Ponte Preta,A,5
10,03/06/2015,Cruzeiro,Flamengo,A,5
11,03/06/2015,Atlético-PR,Figueirense,A,5
12,03/06/2015,Chapecoense,Joinville,A,5
13,04/06/2015,Fluminense,Coritiba,A,5
14,04/06/2015,Sport Recife,Goiás,A,5
