Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,09/06/15,Oeste,Botafogo,B,7
2,10/06/2015,Atlético-MG,Santos,A,7
3,12/06/15,Sampaio Corrêa,Criciúma,B,7
4,13/06/2015,Coritiba,Flamengo,A,7
5,13/06/15,Mogi Mirim,EC Vitória,B,7
6,13/06/15,Bahia,Ceará SC,B,7
7,13/06/2015,Vasco da Gama,Cruzeiro,A,7
8,13/06/2015,Corinthians,Internacional,A,7
9,13/06/15,América-MG,CRB,B,7
10,13/06/15,Atlético-GO,Náutico,B,7
11,13/06/2015,Chapecoense,São Paulo,A,7
12,13/06/15,Macaé,Bragantino,B,7
13,14/06/2015,Avaí,Figueirense,A,7
14,14/06/2015,Ponte Preta,Goiás,A,7
