Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,05/06/15,Náutico,América-MG,B,6
2,06/06/15,Flamengo,Chapecoense,A,6
3,06/06/15,Paysandu,Paraná,B,6
4,06/06/15,Luverdense,Santa Cruz,B,6
5,06/06/15,Atlético-PR,Vasco da Gama,A,6
6,06/06/15,São Paulo,Grêmio,A,6
7,06/06/15,Santos,Ponte Preta,A,6
8,06/06/15,Boa,Oeste,B,6
9,06/06/15,Criciúma,Macaé,B,6
10,06/06/15,Bragantino,Bahia,B,6
11,06/06/15,Joinville,Corinthians,A,6
12,06/06/15,CRB,ABC,B,6
13,07/06/15,Goiás,Avaí,A,6
14,07/06/15,Figueirense,Palmeiras,A,6
