Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,29/05/15,Bahia,Paraná,B,4
2,30/05/15,Ponte Preta,Chapecoense,A,4
3,30/05/15,Joinville,Atlético-PR,A,4
4,30/05/15,Coritiba,Avaí,A,4
5,30/05/15,Luverdense,Macaé,B,4
6,30/05/15,Boa,Paysandu,B,4
7,30/05/15,Oeste,Mogi Mirim,B,4
8,31/05/15,Santos,Sport Recife,A,4
9,31/05/15,Goiás,Grêmio,A,4
10,31/05/15,Corinthians,Palmeiras,A,4
11,31/05/15,Internacional,São Paulo,A,4
12,31/05/15,Figueirense,Cruzeiro,A,4
13,31/05/15,Flamengo,Fluminense,A,4
14,31/05/15,Atlético-MG,Vasco da Gama,A,4
