Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,22/09/15,Bragantino,Boa,B,28
2,26/09/15,Fluminense,Goiás,A,28
3,26/09/15,EC Vitória,Paysandu,B,28
4,26/09/15,CRB,Mogi Mirim,B,28
5,26/09/15,Grêmio,Avaí,A,28
6,26/09/15,Luverdense,Bahia,B,28
7,26/09/15,Náutico,ABC,B,28
8,26/09/15,Sampaio Corrêa,Santa Cruz,B,28
9,26/09/15,Paraná,Atlético-GO,B,28
10,27/09/15,Cruzeiro,Coritiba,A,28
11,27/09/15,Figueirense,Corinthians,A,28
12,27/09/15,Atlético-PR,Ponte Preta,A,28
13,27/09/15,Santos,Internacional,A,28
14,27/09/15,Sport Recife,Chapecoense,A,28
