Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,25/08/15,ABC,Criciúma,B,21
2,28/08/15,CRB,Botafogo,B,21
3,29/08/15,Vasco da Gama,Figueirense,A,21
4,29/08/15,Náutico,Boa,B,21
5,29/08/15,Paysandu,Bragantino,B,21
6,29/08/15,São Paulo,Ponte Preta,A,21
7,29/08/15,Macaé,Sampaio Corrêa,B,21
8,29/08/15,Atlético-GO,Ceará SC,B,21
9,29/08/15,Mogi Mirim,Bahia,B,21
10,30/08/15,Atlético-PR,Goiás,A,21
11,30/08/15,Fluminense,Atlético-MG,A,21
12,30/08/15,Grêmio,Coritiba,A,21
13,30/08/15,Sport Recife,Flamengo,A,21
14,30/08/15,Avaí,Internacional,A,21
