Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,18/07/2015,Flamengo,Grêmio,A,14
2,18/07/2015,Corinthians,Atlético-MG,A,14
3,18/07/2015,Internacional,Goiás,A,14
4,19/07/2015,Joinville,Ponte Preta,A,14
5,19/07/2015,Palmeiras,Santos,A,14
6,19/07/2015,Sport Recife,São Paulo,A,14
7,19/07/2015,Fluminense,Vasco da Gama,A,14
8,24/07/15,América-MG,Boa,B,14
9,25/07/15,Criciúma,Santa Cruz,B,14
10,25/07/15,Bahia,Botafogo,B,14
11,25/07/15,Luverdense,Oeste,B,14
12,25/07/15,CRB,Paysandu,B,14
13,25/07/15,Sampaio Corrêa,ABC,B,14
14,25/07/15,Ceará SC,Mogi Mirim,B,14
