Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,04/09/15,Paraná,Bahia,B,23
2,04/09/15,ABC,Santa Cruz,B,23
3,04/09/15,Náutico,Sampaio Corrêa,B,23
4,05/09/2015,Vasco da Gama,Atlético-MG,A,23
5,05/09/15,América-MG,Bragantino,B,23
6,05/09/2015,São Paulo,Internacional,A,23
7,05/09/15,Paysandu,Boa,B,23
8,05/09/15,EC Vitória,Botafogo,B,23
9,05/09/2015,Atlético-PR,Joinville,A,23
10,06/09/2015,Fluminense,Flamengo,A,23
11,06/09/2015,Grêmio,Goiás,A,23
12,06/09/2015,Cruzeiro,Figueirense,A,23
13,06/09/2015,Sport Recife,Santos,A,23
14,22/09/15,Atlético-GO,Criciúma,B,23
