Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,16/10/15,EC Vitória,Paraná,B,31
2,17/10/2015,Avaí,Palmeiras,A,31
3,17/10/15,Oeste,Bahia,B,31
4,17/10/15,ABC,América-MG,B,31
5,17/10/2015,Joinville,Figueirense,A,31
6,17/10/15,Luverdense,CRB,B,31
7,17/10/15,Mogi Mirim,Atlético-GO,B,31
8,17/10/15,Santa Cruz,Náutico,B,31
9,17/10/15,Paysandu,Macaé,B,31
10,18/10/2015,Grêmio,Chapecoense,A,31
11,18/10/2015,Flamengo,Internacional,A,31
12,18/10/2015,Cruzeiro,Fluminense,A,31
13,18/10/2015,Ponte Preta,Coritiba,A,31
14,18/10/2015,Sport Recife,Atlético-MG,A,31
