Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,27/10/15,Oeste,Luverdense,B,33
2,30/10/15,Paraná,Macaé,B,33
3,31/10/2015,São Paulo,Sport Recife,A,33
4,31/10/15,Mogi Mirim,Ceará SC,B,33
5,31/10/15,EC Vitória,Náutico,B,33
6,31/10/2015,Ponte Preta,Joinville,A,33
7,31/10/2015,Coritiba,Figueirense,A,33
8,31/10/15,Paysandu,CRB,B,33
9,31/10/15,Botafogo,Bahia,B,33
10,31/10/2015,Avaí,Cruzeiro,A,33
11,31/10/15,ABC,Sampaio Corrêa,B,33
12,01/11/2015,Vasco da Gama,Fluminense,A,33
13,01/11/2015,Atlético-MG,Corinthians,A,33
14,01/11/2015,Goiás,Internacional,A,33
