Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,30/06/15,Luverdense,Ceará SC,B,10
2,01/07/15,Sport Recife,Internacional,A,10
3,01/07/15,Vasco da Gama,Avaí,A,10
4,01/07/15,Joinville,Flamengo,A,10
5,01/07/15,Atlético-MG,Coritiba,A,10
6,01/07/15,Palmeiras,Chapecoense,A,10
7,02/07/15,Corinthians,Ponte Preta,A,10
8,02/07/15,Fluminense,Santos,A,10
9,03/07/15,Botafogo,Sampaio Corrêa,B,10
10,04/07/15,Náutico,Oeste,B,10
11,04/07/15,EC Vitória,Bahia,B,10
12,04/07/15,CRB,Boa,B,10
13,04/07/15,ABC,Macaé,B,10
14,04/07/15,América-MG,Mogi Mirim,B,10
