Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,23/10/15,Macaé,Mogi Mirim,B,32
2,24/10/15,Fluminense,Atlético-PR,A,32
3,24/10/15,Ceará SC,Boa,B,32
4,24/10/15,Sampaio Corrêa,Paysandu,B,32
5,24/10/15,Figueirense,Santos,A,32
6,24/10/15,Palmeiras,Sport Recife,A,32
7,24/10/15,Bragantino,Luverdense,B,32
8,24/10/15,Náutico,Botafogo,B,32
9,24/10/15,Atlético-GO,Santa Cruz,B,32
10,24/10/15,Internacional,Joinville,A,32
11,25/10/15,Goiás,Cruzeiro,A,32
12,25/10/15,Vasco da Gama,Grêmio,A,32
13,25/10/15,Atlético-MG,Ponte Preta,A,32
14,27/10/15,Paraná,ABC,B,32
