Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,04/07/2015,Coritiba,Joinville,A,11
2,04/07/2015,Cruzeiro,Atlético-PR,A,11
3,04/07/2015,Chapecoense,Vasco da Gama,A,11
4,05/07/2015,Flamengo,Figueirense,A,11
5,05/07/2015,São Paulo,Fluminense,A,11
6,05/07/2015,Santos,Grêmio,A,11
7,05/07/2015,Internacional,Atlético-MG,A,11
8,07/07/15,Bahia,Paysandu,B,11
9,07/07/15,Mogi Mirim,Náutico,B,11
10,07/07/15,Boa,EC Vitória,B,11
11,07/07/15,Santa Cruz,CRB,B,11
12,07/07/15,Atlético-GO,ABC,B,11
13,07/07/15,Oeste,Paraná,B,11
14,07/07/15,Ceará SC,Botafogo,B,11
