Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,15/05/15,Sampaio Corrêa,Macaé,B,2
2,15/05/15,Santa Cruz,Paraná,B,2
3,16/05/15,Corinthians,Chapecoense,A,2
4,16/05/15,Goiás,Atlético-PR,A,2
5,16/05/15,Coritiba,Grêmio,A,2
6,16/05/15,Oeste,EC Vitória,B,2
7,16/05/15,Bragantino,Paysandu,B,2
8,17/05/15,Ponte Preta,São Paulo,A,2
9,17/05/15,Santos,Cruzeiro,A,2
10,17/05/15,Internacional,Avaí,A,2
11,17/05/15,Joinville,Palmeiras,A,2
12,17/05/15,Flamengo,Sport Recife,A,2
13,17/05/15,Atlético-MG,Fluminense,A,2
14,17/05/15,Figueirense,Vasco da Gama,A,2
