Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,01/09/15,Sampaio Corrêa,Mogi Mirim,B,22
2,01/09/15,Ceará SC,Paysandu,B,22
3,01/09/15,Botafogo,Atlético-GO,B,22
4,01/09/15,Boa,Paraná,B,22
5,02/09/15,Corinthians,Fluminense,A,22
6,02/09/15,Internacional,Vasco da Gama,A,22
7,02/09/15,Ponte Preta,Cruzeiro,A,22
8,02/09/15,Goiás,Palmeiras,A,22
9,02/09/15,Coritiba,Sport Recife,A,22
10,02/09/15,Joinville,São Paulo,A,22
11,02/09/15,Flamengo,Avaí,A,22
12,02/09/15,Atlético-MG,Atlético-PR,A,22
13,03/09/15,Santos,Chapecoense,A,22
14,03/09/15,Figueirense,Grêmio,A,22
