Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,08/05/15,ABC,Oeste,B,1
2,08/05/15,Mogi Mirim,Criciúma,B,1
3,09/05/2015,Palmeiras,Atlético-MG,A,1
4,09/05/15,Náutico,Luverdense,B,1
5,09/05/15,Macaé,Santa Cruz,B,1
6,09/05/2015,Chapecoense,Coritiba,A,1
7,09/05/15,CRB,Bragantino,B,1
8,09/05/15,América-MG,Bahia,B,1
9,09/05/2015,Fluminense,Joinville,A,1
10,09/05/15,Paysandu,Botafogo,B,1
11,10/05/2015,Grêmio,Ponte Preta,A,1
12,10/05/2015,Atlético-PR,Internacional,A,1
13,10/05/2015,São Paulo,Flamengo,A,1
14,10/05/2015,Avaí,Santos,A,1
