Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,11/09/15,Paraná,Paysandu,B,25
2,11/09/15,Mogi Mirim,Botafogo,B,25
3,12/09/15,Coritiba,Internacional,A,25
4,12/09/15,Atlético-GO,EC Vitória,B,25
5,12/09/15,Sampaio Corrêa,Ceará SC,B,25
6,12/09/15,Palmeiras,Figueirense,A,25
7,12/09/15,América-MG,Náutico,B,25
8,12/09/15,Santa Cruz,Luverdense,B,25
9,12/09/15,Macaé,Criciúma,B,25
10,13/09/15,Sport Recife,Fluminense,A,25
11,13/09/15,Grêmio,São Paulo,A,25
12,13/09/15,Ponte Preta,Santos,A,25
13,13/09/15,Corinthians,Joinville,A,25
14,13/09/15,Avaí,Goiás,A,25
