Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,15/09/15,Paysandu,ABC,B,26
2,15/09/15,EC Vitória,Mogi Mirim,B,26
3,15/09/15,Ceará SC,Bahia,B,26
4,15/09/15,Boa,Santa Cruz,B,26
5,15/09/15,Criciúma,Sampaio Corrêa,B,26
6,15/09/15,Luverdense,Paraná,B,26
7,15/09/15,Botafogo,Oeste,B,26
8,16/09/15,Santos,Atlético-MG,A,26
9,16/09/15,Goiás,Ponte Preta,A,26
10,16/09/15,Atlético-PR,Grêmio,A,26
11,16/09/15,Fluminense,Palmeiras,A,26
12,16/09/15,Joinville,Sport Recife,A,26
13,17/09/15,São Paulo,Chapecoense,A,26
14,17/09/15,Flamengo,Coritiba,A,26
