Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,29/07/2015,Corinthians,Vasco da Gama,A,16
2,29/07/2015,Atlético-MG,São Paulo,A,16
3,31/07/15,ABC,Bahia,B,16
4,01/08/15,Paraná,CRB,B,16
5,01/08/15,Atlético-GO,Sampaio Corrêa,B,16
6,01/08/15,Botafogo,Luverdense,B,16
7,01/08/15,Oeste,Santa Cruz,B,16
8,01/08/15,Náutico,Macaé,B,16
9,01/08/2015,Fluminense,Grêmio,A,16
10,01/08/15,Bragantino,Ceará SC,B,16
11,02/08/2015,Internacional,Chapecoense,A,16
12,02/08/2015,Joinville,Avaí,A,16
13,02/08/2015,Palmeiras,Atlético-PR,A,16
14,02/08/2015,Sport Recife,Cruzeiro,A,16
