Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,08/07/15,Goiás,Santos,A,12
2,08/07/15,Chapecoense,Grêmio,A,12
3,08/07/15,Coritiba,Ponte Preta,A,12
4,08/07/15,Palmeiras,Avaí,A,12
5,08/07/15,Figueirense,Joinville,A,12
6,08/07/15,Internacional,Flamengo,A,12
7,08/07/15,Vasco da Gama,São Paulo,A,12
8,08/07/15,Atlético-MG,Sport Recife,A,12
9,09/07/15,Corinthians,Atlético-PR,A,12
10,09/07/15,Fluminense,Cruzeiro,A,12
11,10/07/15,Ceará SC,Criciúma,B,12
12,11/07/15,Náutico,Santa Cruz,B,12
13,11/07/15,América-MG,ABC,B,12
14,11/07/15,Paraná,EC Vitória,B,12
