Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,25/07/15,Grêmio,Sport Recife,A,15
2,25/07/15,Avaí,Atlético-PR,A,15
3,25/07/15,Atlético-MG,Figueirense,A,15
4,26/07/15,Goiás,Flamengo,A,15
5,26/07/15,Chapecoense,Fluminense,A,15
6,26/07/15,São Paulo,Cruzeiro,A,15
7,26/07/15,Vasco da Gama,Palmeiras,A,15
8,28/07/15,Oeste,Sampaio Corrêa,B,15
9,28/07/15,Mogi Mirim,Bragantino,B,15
10,28/07/15,EC Vitória,Macaé,B,15
11,28/07/15,Botafogo,Criciúma,B,15
12,28/07/15,Paraná,Náutico,B,15
13,28/07/15,Paysandu,América-MG,B,15
14,28/07/15,Atlético-GO,CRB,B,15
