Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,24/11/15,Boa,ABC,B,38
2,28/11/15,Ceará SC,Macaé,B,38
3,28/11/15,Santa Cruz,EC Vitória,B,38
4,28/11/15,Sampaio Corrêa,Paraná,B,38
5,06/12/15,Goiás,São Paulo,A,38
6,06/12/15,Coritiba,Vasco da Gama,A,38
7,06/12/15,Figueirense,Fluminense,A,38
8,06/12/15,Atlético-MG,Chapecoense,A,38
9,06/12/15,Corinthians,Avaí,A,38
10,06/12/15,Flamengo,Palmeiras,A,38
11,06/12/15,Ponte Preta,Sport Recife,A,38
12,06/12/15,Internacional,Cruzeiro,A,38
13,06/12/15,Santos,Atlético-PR,A,38
14,06/12/15,Joinville,Grêmio,A,38
