Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,29/09/15,Santa Cruz,Bragantino,B,29
2,02/10/15,Sampaio Corrêa,Botafogo,B,29
3,03/10/15,Internacional,Sport Recife,A,29
4,03/10/15,Oeste,Náutico,B,29
5,03/10/15,Macaé,ABC,B,29
6,03/10/15,Coritiba,Atlético-MG,A,29
7,03/10/15,Bahia,EC Vitória,B,29
8,03/10/15,Atlético-GO,Paysandu,B,29
9,03/10/15,São Paulo,Atlético-PR,A,29
10,03/10/15,Mogi Mirim,América-MG,B,29
11,04/10/15,Santos,Fluminense,A,29
12,04/10/15,Goiás,Figueirense,A,29
13,04/10/15,Flamengo,Joinville,A,29
14,04/10/15,Chapecoense,Palmeiras,A,29
