Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,21/08/15,Santa Cruz,Macaé,B,20
2,22/08/2015,Goiás,Vasco da Gama,A,20
3,22/08/15,Sampaio Corrêa,EC Vitória,B,20
4,22/08/15,Luverdense,Náutico,B,20
5,22/08/2015,Santos,Avaí,A,20
6,22/08/15,Boa,Atlético-GO,B,20
7,22/08/15,Bahia,América-MG,B,20
8,22/08/2015,Figueirense,Sport Recife,A,20
9,23/08/2015,Flamengo,São Paulo,A,20
10,23/08/2015,Joinville,Fluminense,A,20
11,23/08/2015,Corinthians,Cruzeiro,A,20
12,23/08/15,Botafogo,Paysandu,B,20
13,23/08/2015,Atlético-MG,Palmeiras,A,20
14,23/08/15,Ceará SC,Paraná,B,20
