Rodada,Data,Time da Casa,Placar,Time Visitante
1T,31/05/81,Democrata-GV,3-1,Guarani-MG
1T,31/05/81,Uberlândia,3-2,América Mineiro
1T,31/05/81,Cruzeiro,3-0,Esportiva Guaxupé
1T,31/05/81,Caldense,2-1,Atlético Mineiro
1T,31/05/81,Valeriodoce,0-1,Villa Nova-MG
1T,31/05/81,Uberaba,1-0,Tupi
1T,03/06/81,Atlético Mineiro,4-0,Uberlândia
1T,06/06/81,América Mineiro,3-1,Democrata-GV
1T,07/06/81,Guarani-MG,0-1,Cruzeiro
1T,07/06/81,Esportiva Guaxupé,0-0,Uberaba
1T,07/06/81,Tupi,2-1,Valeriodoce
1T,07/06/81,Atlético Mineiro,1-1,Villa Nova-MG
1T,10/06/81,Valeriodoce,0-0,Esportiva Guaxupé
1T,10/06/81,Tupi,1-1,Atlético Mineiro
1T,14/06/81,América Mineiro,2-1,Cruzeiro
1T,14/06/81,Uberaba,2-1,Guarani-MG
1T,14/06/81,Caldense,4-0,Tupi
1T,14/06/81,Uberlândia,1-1,Democrata-GV
1T,15/06/81,Atlético Mineiro,3-1,Esportiva Guaxupé
1T,17/06/81,Cruzeiro,2-0,Democrata-GV
1T,18/06/81,América Mineiro,1-0,Uberaba
1T,18/06/81,Esportiva Guaxupé,1-1,Caldense
1T,18/06/81,Villa Nova-MG,2-1,Uberlândia
1T,18/06/81,Democrata-GV,1-1,Uberaba
1T,18/06/81,Guarani-MG,0-1,Atlético Mineiro
1T,21/06/81,Caldense,2-0,Guarani-MG
1T,21/06/81,Villa Nova-MG,3-1,Tupi
1T,21/06/81,Uberlândia,1-0,Cruzeiro
1T,21/06/81,Atlético Mineiro,0-0,América Mineiro
1T,21/06/81,Villa Nova-MG,1-0,Guarani-MG
1T,21/06/81,Tupi,2-1,Esportiva Guaxupé
1T,21/06/81,Uberlândia,0-0,Uberaba
1T,21/06/81,Democrata-GV,1-0,Caldense
1T,21/06/81,Cruzeiro,1-1,Valeriodoce
1T,24/06/81,Guarani-MG,0-2,Valeriodoce
1T,24/06/81,Atlético Mineiro,4-0,Democrata-GV
1T,28/06/81,Esportiva Guaxupé,0-2,Villa Nova-MG
1T,28/06/81,Tupi,1-0,Uberlândia
1T,28/06/81,Valeriodoce,2-1,Democrata-GV
1T,28/06/81,Cruzeiro,0-0,Atlético Mineiro
1T,01/07/81,Valeriodoce,2-0,América Mineiro
1T,01/07/81,Uberaba,0-2,Cruzeiro
1T,11/07/81,Atlético Mineiro,2-1,Uberaba
1T,12/07/81,América Mineiro,3-1,Villa Nova-MG
1T,12/07/81,Guarani-MG,0-0,Tupi
1T,12/07/81,Esportiva Guaxupé,1-1,Uberlândia
