Rodada,Data,Time da Casa,Placar,Time Visitante
C,09/04/22,Palestra Itália,2-2,Sete de Setembro-MG
C,09/04/22,Progresso-BH,1-2,Yale-MG
C,16/04/22,América Mineiro,4-2,Palestra Itália
C,16/04/22,Atlético Mineiro,6-0,Progresso-BH
C,23/04/22,Palestra Itália,3-3,Luzitano-MG
C,23/04/22,Atlético Mineiro,2-1,Yale-MG
C,30/04/22,Palestra Itália,0-0,Yale-MG
C,30/04/22,Luzitano-MG,2-0,Progresso-BH
C,07/05/22,Progresso-BH,0-3,Palestra Itália
C,07/05/22,Luzitano-MG,1-0,Sete de Setembro-MG
C,21/05/22,Progresso-BH,1-4,América Mineiro
C,21/05/22,Palestra Itália,1-0,Atlético Mineiro
C,28/05/22,Yale-MG,0-0,Sete de Setembro-MG
C,28/05/22,América Mineiro,0-1,Luzitano-MG
C,04/06/22,América Mineiro,3-1,Sete de Setembro-MG
C,04/06/22,Atlético Mineiro,1-1,Luzitano-MG
C,11/06/22,Progresso-BH,1-1,Sete de Setembro-MG
C,11/06/22,Atlético Mineiro,2-6,América Mineiro
C,18/06/22,América Mineiro,1-2,Yale-MG
C,18/06/22,Sete de Setembro-MG,7-1,Atlético Mineiro
C,25/06/22,Yale-MG,0-0,Luzitano-MG
C,13/08/22,Sete de Setembro-MG,0-2,Palestra Itália
C,13/08/22,Progresso-BH,0-4,Yale-MG
C,20/08/22,Palestra Itália,1-1,América Mineiro
C,20/08/22,Progresso-BH,0-7,Atlético Mineiro
C,27/08/22,Palestra Itália,1-0,Luzitano-MG
C,27/08/22,Yale-MG,1-0,Atlético Mineiro
C,03/09/22,Palestra Itália,1-0,Yale-MG
C,03/09/22,Luzitano-MG,1-0,Progresso-BH
C,10/09/22,Sete de Setembro-MG,4-1,Luzitano-MG
C,10/09/22,Palestra Itália,6-1,Progresso-BH
C,17/09/22,Atlético Mineiro,WO,Palestra Itália
C,17/09/22,América Mineiro,WO,Progresso-BH
C,24/09/22,Luzitano-MG,1-7,América Mineiro
C,24/09/22,Sete de Setembro-MG,1-4,Yale-MG
C,01/10/22,Sete de Setembro-MG,1-3,América Mineiro
C,01/10/22,Luzitano-MG,0-2,Atlético Mineiro
C,08/10/22,América Mineiro,1-1,Atlético Mineiro
C,08/10/22,Sete de Setembro-MG,1-0,Progresso-BH
C,15/10/22,América Mineiro,4-0,Yale-MG
C,15/10/22,Atlético Mineiro,3-3,Sete de Setembro-MG
C,22/10/22,Luzitano-MG,0-0,Yale-MG
F,05/11/22,América Mineiro,2-1,Palestra Itália
