Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,29/05/12,Paraná,América-MG,B,3
2,01/06/12,Athletico-PR,Grêmio Barueri,B,4
3,15/06/12,São Caetano,América-RN,B,6
4,25/08/12,América-RN,ABC,B,19
5,10/10/12,Cruzeiro,Portuguesa,A,29
6,10/10/12,Botafogo,Santos,A,29
7,10/10/12,Figueirense,Atlético-GO,A,29
8,10/10/12,Ponte Preta,Nautico,A,29
9,10/10/12,Bahia,Fluminense,A,29
10,10/10/12,Vasco,São Paulo,A,29
11,10/10/12,Corinthians,Flamengo,A,29
12,10/10/12,Internacional,Atlético-MG,A,29
13,11/10/12,Palmeiras,Coritiba,A,29
14,11/10/12,Sport,Grêmio,A,29
