Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,08/08/12,Sport,Vasco,A,15
2,08/08/12,Internacional,Nautico,A,15
3,08/08/12,Bahia,Portuguesa,A,15
4,08/08/12,Corinthians,Atlético-GO,A,15
5,08/08/12,Figueirense,Flamengo,A,15
6,08/08/12,Botafogo,Palmeiras,A,15
7,08/08/12,Santos,Cruzeiro,A,15
8,09/08/12,Ponte Preta,Grêmio,A,15
9,09/08/12,Atlético-MG,Coritiba,A,15
10,09/08/12,Fluminense,São Paulo,A,15
11,25/08/12,CRB,ASA,B,19
12,04/09/12,Athletico-PR,Boa Esporte,B,22
13,11/09/12,Guaratinguetá,Paraná,B,24
14,23/10/12,Goiás,ASA,B,32
