Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,31/07/12,Paraná,Avaí,B,14
2,11/08/12,Bahia,Cruzeiro,A,16
3,11/08/12,Sport,Figueirense,A,16
4,11/08/12,Santos,Atlético-GO,A,16
5,11/08/12,Flamengo,Nautico,A,16
6,12/08/12,Atlético-MG,Vasco,A,16
7,12/08/12,Internacional,Ponte Preta,A,16
8,12/08/12,Coritiba,Corinthians,A,16
9,12/08/12,São Paulo,Grêmio,A,16
10,12/08/12,Fluminense,Palmeiras,A,16
11,12/08/12,Portuguesa,Botafogo,A,16
12,14/08/12,Athletico-PR,ASA,B,17
13,31/08/12,Boa Esporte,Guarani,B,21
14,02/10/12,ASA,Avaí,B,28
