Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,16/06/12,Bragantino,Guaratinguetá,B,6
2,23/06/12,Portuguesa,São Paulo,A,6
3,23/06/12,Vasco,Cruzeiro,A,6
4,23/06/12,Atlético-MG,Nautico,A,6
5,24/06/12,Corinthians,Palmeiras,A,6
6,24/06/12,Grêmio,Flamengo,A,6
7,24/06/12,Figueirense,Bahia,A,6
8,24/06/12,Botafogo,Ponte Preta,A,6
9,24/06/12,Santos,Coritiba,A,6
10,24/06/12,Atlético-GO,Fluminense,A,6
11,24/06/12,Sport,Internacional,A,6
12,28/08/12,Athletico-PR,Joinville,B,20
13,06/11/12,Joinville,Guaratinguetá,B,35
14,24/11/12,Athletico-PR,Paraná,B,38
