Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,18/05/12,Ceará,América-MG,B,1
2,26/06/12,Goiás,Guaratinguetá,B,8
3,25/07/12,Figueirense,Internacional,A,12
4,25/07/12,Ponte Preta,Sport,A,12
5,25/07/12,Vasco,Botafogo,A,12
6,25/07/12,Nautico,Coritiba,A,12
7,25/07/12,Corinthians,Cruzeiro,A,12
8,25/07/12,Atlético-GO,São Paulo,A,12
9,25/07/12,Grêmio,Fluminense,A,12
10,26/07/12,Atlético-MG,Santos,A,12
11,26/07/12,Flamengo,Portuguesa,A,12
12,26/07/12,Palmeiras,Bahia,A,12
13,27/10/12,Guarani,Criciúma,B,33
14,02/11/12,Ceará,Avaí,B,34
