Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,04/08/12,Joinville,Criciúma,B,15
2,25/08/12,Palmeiras,Santos,A,19
3,25/08/12,Vasco,Fluminense,A,19
4,25/08/12,Ponte Preta,Portuguesa,A,19
5,26/08/12,Internacional,Grêmio,A,19
6,26/08/12,Botafogo,Flamengo,A,19
7,26/08/12,Corinthians,São Paulo,A,19
8,26/08/12,Figueirense,Coritiba,A,19
9,26/08/12,Cruzeiro,Atlético-MG,A,19
10,26/08/12,Bahia,Atlético-GO,A,19
11,26/08/12,Sport,Nautico,A,19
12,04/09/12,Goiás,Ceará,B,22
13,19/10/12,Ipatinga,América-RN,B,31
14,América-RN,2-2,,B,21/09/12
