Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,17/07/12,Boa Esporte,CRB,B,11
2,20/07/12,Guaratinguetá,Boa Esporte,B,12
3,04/09/12,ASA,Ipatinga,B,22
4,13/10/12,Flamengo,Cruzeiro,A,30
5,13/10/12,Atlético-GO,Internacional,A,30
6,13/10/12,Portuguesa,Corinthians,A,30
7,14/10/12,Atlético-MG,Sport,A,30
8,14/10/12,Santos,Vasco,A,30
9,14/10/12,São Paulo,Figueirense,A,30
10,14/10/12,Coritiba,Bahia,A,30
11,14/10/12,Nautico,Palmeiras,A,30
12,14/10/12,Fluminense,Ponte Preta,A,30
13,14/10/12,Grêmio,Botafogo,A,30
14,17/11/12,CRB,Guarani,B,37
