Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,19/05/12,Palmeiras,Portuguesa,A,1
2,19/05/12,Sport,Flamengo,A,1
3,19/05/12,Figueirense,Nautico,A,1
4,20/05/12,Corinthians,Fluminense,A,1
5,20/05/12,Internacional,Coritiba,A,1
6,20/05/12,Botafogo,São Paulo,A,1
7,20/05/12,Ponte Preta,Atlético-MG,A,1
8,20/05/12,Cruzeiro,Atlético-GO,A,1
9,20/05/12,Bahia,Santos,A,1
10,20/05/12,Vasco,Grêmio,A,1
11,21/08/12,Grêmio Barueri,Guaratinguetá,B,19
12,25/08/12,Joinville,Goiás,B,19
13,14/09/12,América-MG,Avaí,B,25
14,05/10/12,Boa Esporte,Paraná,B,28
