Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,18/05/12,Ipatinga,ABC,B,1
2,26/05/12,Atlético-GO,Ponte Preta,A,2
3,26/05/12,Flamengo,Internacional,A,2
4,26/05/12,Portuguesa,Vasco,A,2
5,26/05/12,Nautico,Cruzeiro,A,2
6,27/05/12,São Paulo,Bahia,A,2
7,27/05/12,Atlético-MG,Corinthians,A,2
8,27/05/12,Coritiba,Botafogo,A,2
9,27/05/12,Santos,Sport,A,2
10,27/05/12,Grêmio,Palmeiras,A,2
11,27/05/12,Fluminense,Figueirense,A,2
12,29/05/12,América-RN,Avaí,B,3
13,14/08/12,ABC,América-MG,B,17
14,28/08/12,Bragantino,CRB,B,20
